ETC Registers

Sl.no,Register Address,Value
911,f38e,0000
912,f38f,0000
913,f390,0000
914,f391,7c00
915,f392,0000
916,f393,43ff
917,f394,0000
918,f395,7fff
919,f396,7fff
920,f397,7c00
921,f398,0000
922,f399,0000
923,f39a,0000
924,f39b,0000
925,f39c,0000
926,f39d,0000
927,f39e,0000
928,f39f,0000
929,f3a0,0000
930,f3a1,0000
931,f3a2,0000
932,f3a3,0000
933,f3a4,0000
934,f3a5,0000
935,f3a6,0000
936,f3a7,0000
937,f3a8,0000
938,f3a9,0000
939,f3aa,0000
940,f3ab,0000
941,f3ac,0000
942,f3ad,0000
943,f3ae,0000
944,f3af,0000
945,f3b0,0000
946,f3b1,0000
947,f3b2,0000
948,f3b3,0000
949,f3b4,0000
950,f3b5,0000
951,f3b6,0000
952,f3b7,0000
953,f3b8,0000
954,f3b9,0000
955,f3ba,0000
956,f3bb,0000
957,f3bc,0000
958,f3bd,0000
959,f3be,0000
960,f3bf,0000
961,f3c0,001f
962,f3c1,0000
963,f3c2,0000
964,f3c3,0000
965,f3c4,0000
966,f3c5,0000
967,f3c6,0000
968,f3c7,0000
969,f3c8,0000
970,f3c9,0000
971,f3ca,0000
972,f3cb,0000
973,f3cc,0000
974,f3cd,0000
975,f3ce,0000
976,f3cf,0000
977,f3d0,0000
978,f3d1,0000
979,f3d2,0000
980,f3d3,0000
981,f3d4,0000
982,f3d5,0000
983,f3d6,0000
984,f3d7,0000
985,f3d8,0000
986,f3d9,0000
987,f3da,0000
988,f3db,0000
989,f3dc,0000
990,f3dd,0000
991,f3de,0000
992,f3df,0000
993,f3e0,0000
994,f3e1,f430
995,f3e2,0df9
996,f3e3,0000
997,f3e4,0000
998,f3e5,0000
999,f3e6,0000
1000,f3e7,0000
1001,f3e8,0000
1002,f3e9,0000
1003,f3ea,0000
1004,f3eb,0000
1005,f3ec,0000
1006,f3ed,0000
1007,f3ee,0000
1008,f3ef,0000
1009,f3f0,0000
1010,f3f1,0000
1011,f3f2,0000
1012,f3f3,0000
1013,f3f4,0000
1014,f3f5,0000
1015,f3f6,0000
1016,f3f7,0000
1017,f3f8,0000
1018,f3f9,0000
1019,f3fa,0000
1020,f3fb,0000
1021,f3fc,0000
1022,f3fd,0000
1023,f3fe,0000
1024,f3ff,0000
1025,f400,e000
1026,f401,0000
1027,f402,0000
1028,f403,0000
1029,f404,0000
1030,f405,0000
1031,f406,0000
1032,f407,0000
1033,f408,0000
1034,f409,0000
1035,f40a,0000
1036,f40b,007f
1037,f40c,0109
1038,f40d,0000
1039,f40e,0000
1040,f40f,1806
1041,f410,1805
1042,f411,1804
1043,f412,1803
1044,f413,1802
1045,f414,1801
1046,f415,1800
1047,f416,0040
1048,f417,0040
1049,f418,0040
1050,f419,0040
1051,f41a,0040
1052,f41b,0000
1053,f41c,0000
1054,f41d,0000
1055,f41e,0000
1056,f41f,0000
1057,f420,0000
1058,f421,0000
1059,f422,0000
1060,f423,0000
1061,f424,0000
1062,f425,0000
1063,f426,0000
1064,f427,0000
1065,f428,0000
1066,f429,0000
1067,f42a,0000
1068,f42b,0000
1069,f42c,0000
1070,f42d,0000
1071,f42e,0000
1072,f42f,0000
1073,f430,0000
1074,f431,0000
1075,f432,0000
1076,f433,0000
1077,f434,0000
1078,f435,0000
1079,f436,0000
1080,f437,0000
1081,f438,0000
1082,f439,0000
1083,f43a,0000
1084,f43b,0000
1085,f43c,0000
1086,f43d,0000
1087,f43e,0000
1088,f43f,0000
1089,f440,0000
1090,f441,0000
1091,f442,0000
1092,f443,0000
1093,f444,0000
1094,f445,0000
1095,f446,0000
1096,f447,0000
1097,f448,0000
1098,f449,0000
1099,f44a,0000
1100,f44b,0000
1101,f44c,0000
1102,f44d,0000
1103,f44e,0000
1104,f44f,0000
1105,f450,0000
1106,f451,0000
1107,f452,0000
1108,f453,0000
1109,f454,0000
1110,f455,0000
1111,f456,0000
1112,f457,0000
1113,f458,0000
1114,f459,0000
1115,f45a,0000
1116,f45b,0000
1117,f45c,0000
1118,f45d,0000
1119,f45e,0000
1120,f45f,0000
1121,f460,0000
1122,f461,0000
1123,f462,0000
1124,f463,0000
1125,f464,0000
1126,f465,0000
1127,f466,0000
1128,f467,0000
1129,f468,0000
1130,f469,0000
1131,f46a,0000
1132,f46b,0000
1133,f46c,0000
1134,f46d,0000
1135,f46e,0000
