ETC Registers

Sl.no,Register Address,Value
618,d269,0000
619,d26a,0000
620,d26b,0000
621,d26c,0000
622,d26d,0000
623,d26e,0000
624,d26f,0000
625,d270,0000
626,d271,0000
627,d272,0000
628,d273,0000
629,d274,0000
630,d275,0000
631,d276,0000
632,d277,0000
633,d278,0000
634,d279,0000
635,d27a,0000
636,d27b,0000
637,d27c,0000
638,d27d,0000
639,d27e,0000
640,d27f,0000
641,d280,0000
642,d281,0000
643,d282,0000
644,d283,0000
645,d284,0000
646,d285,0000
647,d286,0000
648,d287,0000
649,d288,0000
650,d289,0000
651,d28a,0000
652,d28b,0000
653,d28c,0000
654,d28d,0000
655,d28e,0000
656,d28f,0000
657,d290,0000
658,d291,0000
659,d292,0000
660,d293,0000
661,d294,0000
662,d295,0000
663,d296,0000
664,d297,0000
665,d298,0000
666,d299,0000
667,d29a,0000
668,d29b,0000
669,d29c,0000
670,d29d,0000
671,d29e,0000
672,d29f,0000
673,d2a0,0000
674,d2a1,0000
675,d2a2,0000
676,d2a3,0000
677,d2a4,0000
678,d2a5,0000
679,d2a6,0000
680,d2a7,0000
681,d2a8,0000
682,d2a9,0000
683,d2aa,0000
684,d2ab,0000
685,d2ac,0000
686,d2ad,0000
687,d2ae,0000
688,d2af,0000
689,d2b0,0000
690,d2b1,0000
691,d2b2,0000
692,d2b3,0000
693,d2b4,0000
694,d2b5,0000
695,d2b6,0000
696,d2b7,0000
697,d2b8,0000
698,d2b9,0000
699,d2ba,0000
700,d2bb,0000
701,d2bc,0000
702,d2bd,0000
703,d2be,0000
704,d2bf,0000
705,d2c0,0000
706,d2c1,0000
707,d2c2,0000
708,d2c3,0000
709,d2c4,0000
710,d2c5,0000
711,d2c6,0000
712,d2c7,0000
713,d2c8,0000
714,d2c9,0000
715,d2ca,0000
716,d2cb,0000
717,d2cc,0000
718,d2cd,0000
719,d2ce,0000
720,d2cf,0000
721,d2d0,0000
722,d2d1,0000
723,d2d2,0000
724,d2d3,0000
725,d2d4,0000
726,d2d5,0000
727,d2d6,0000
